tax_id	object_id	object_label	object_categories	object_aliases	subject_label	start	end
2208	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
879	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
881	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
876	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
880	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
873	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
899	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
138903	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
56760	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
35837	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
66849	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
886	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
1741	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
74701	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
74702	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
84156	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
28262	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
58135	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
39060	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
53245	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
42471	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
58137	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
42838	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
1566	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
57172	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
34032	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
876	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
58136	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
2234	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
62609	GO:0019419	sulfate reduction	[]	[]	sulfate reduction		
48382	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
930	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
920	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
2714	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
12915	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
41673	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
2283	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
43687	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
47304	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
2285	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
2287	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
47303	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
28034	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
53633	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
2286	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
79601	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
48383	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
160660	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
46539	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
63656	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
39765	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
65555	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
53321	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
894	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
63656	GO:0019418	sulfide oxidation	[]	[]	sulfide oxidation		
46539	GO:0019418	sulfide oxidation	[]	[]	sulfide oxidation		
39765	GO:0019418	sulfide oxidation	[]	[]	sulfide oxidation		
48383	GO:0019418	sulfide oxidation	[]	[]	sulfide oxidation		
79601	GO:0019418	sulfide oxidation	[]	[]	sulfide oxidation		
48382	GO:0019418	sulfide oxidation	[]	[]	sulfide oxidation		
36861	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
40753	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
40752	GO:0019417	sulfur oxidation	[]	[]	sulfur oxidation		
54261	GO:0019418	sulfide oxidation	[]	[]	sulfide oxidation		
40753	GO:0019418	sulfide oxidation	[]	[]	sulfide oxidation		
40752	GO:0019418	sulfide oxidation	[]	[]	sulfide oxidation		
145262	GO:0015948	methanogenesis	[]	[]	methanogenesis		
2162	GO:0015948	methanogenesis	[]	[]	methanogenesis		
71152	GO:0015948	methanogenesis	[]	[]	methanogenesis		
2186	GO:0015948	methanogenesis	[]	[]	methanogenesis		
49340	GO:0015948	methanogenesis	[]	[]	methanogenesis		
49339	GO:0015948	methanogenesis	[]	[]	methanogenesis		
59277	GO:0015948	methanogenesis	[]	[]	methanogenesis		
54120	GO:0015948	methanogenesis	[]	[]	methanogenesis		
38027	GO:0015948	methanogenesis	[]	[]	methanogenesis		
39669	GO:0015948	methanogenesis	[]	[]	methanogenesis		
2208	GO:0015948	methanogenesis	[]	[]	methanogenesis		
2221	GO:0015948	methanogenesis	[]	[]	methanogenesis		
2199	GO:0015948	methanogenesis	[]	[]	methanogenesis		
