subject	edge_label	object	relation	provided_by
NCBITaxon:1955243	biolink:growsIn	DSMZ:1669		BACDIVE:158156
DSMZ:1669	biolink:supportsGrowth	NCBITaxon:1955243		BACDIVE:158156
NCBITaxon:1873457	biolink:growsIn	DSMZ:92		BACDIVE:139807
DSMZ:92	biolink:supportsGrowth	NCBITaxon:1873457		BACDIVE:139807
NCBITaxon:1848903	biolink:growsIn	DSMZ:1609		BACDIVE:132461
DSMZ:1609	biolink:supportsGrowth	NCBITaxon:1848903		BACDIVE:132461
NCBITaxon:1978225	biolink:growsIn	DSMZ:830		BACDIVE:132310
DSMZ:830	biolink:supportsGrowth	NCBITaxon:1978225		BACDIVE:132310
NCBITaxon:1413221	biolink:growsIn	DSMZ:65		BACDIVE:130726
DSMZ:65	biolink:supportsGrowth	NCBITaxon:1413221		BACDIVE:130726
NCBITaxon:1122939	biolink:growsIn	DSMZ:830		BACDIVE:17629
DSMZ:830	biolink:supportsGrowth	NCBITaxon:1122939		BACDIVE:17629
NCBITaxon:1931	biolink:growsIn	DSMZ:65		BACDIVE:15641
DSMZ:65	biolink:supportsGrowth	NCBITaxon:1931		BACDIVE:15641
NCBITaxon:56	biolink:growsIn	DSMZ:9		BACDIVE:12368
DSMZ:9	biolink:supportsGrowth	NCBITaxon:56		BACDIVE:12368
NCBITaxon:1797	biolink:growsIn	DSMZ:354		BACDIVE:8424
DSMZ:354	biolink:supportsGrowth	NCBITaxon:1797		BACDIVE:8424
NCBITaxon:145262	biolink:growsIn	DSMZ:119		BACDIVE:6888
DSMZ:119	biolink:supportsGrowth	NCBITaxon:145262		BACDIVE:6888
NCBITaxon:47847	biolink:growsIn	DSMZ:92		BACDIVE:3904
DSMZ:92	biolink:supportsGrowth	NCBITaxon:47847		BACDIVE:3904
NCBITaxon:61595	biolink:growsIn	DSMZ:28		BACDIVE:2434
DSMZ:28	biolink:supportsGrowth	NCBITaxon:61595		BACDIVE:2434
NCBITaxon:920	biolink:growsIn	DSMZ:271		BACDIVE:120
DSMZ:271	biolink:supportsGrowth	NCBITaxon:920		BACDIVE:120
NCBITaxon:1871063	biolink:growsIn	DSMZ:92		BACDIVE:131603
DSMZ:92	biolink:supportsGrowth	NCBITaxon:1871063		BACDIVE:131603
NCBITaxon:1387716	biolink:growsIn	DSMZ:92		BACDIVE:131308
DSMZ:92	biolink:supportsGrowth	NCBITaxon:1387716		BACDIVE:131308
NCBITaxon:1464038	biolink:growsIn	DSMZ:693		BACDIVE:130819
DSMZ:693	biolink:supportsGrowth	NCBITaxon:1464038		BACDIVE:130819
NCBITaxon:1283715	biolink:growsIn	DSMZ:554		BACDIVE:24210
DSMZ:554	biolink:supportsGrowth	NCBITaxon:1283715		BACDIVE:24210
NCBITaxon:1055723	biolink:growsIn	DSMZ:514		BACDIVE:24031
DSMZ:514	biolink:supportsGrowth	NCBITaxon:1055723		BACDIVE:24031
NCBITaxon:1899569	biolink:growsIn	DSMZ:1153		BACDIVE:23882
DSMZ:1153	biolink:supportsGrowth	NCBITaxon:1899569		BACDIVE:23882
NCBITaxon:1920507	biolink:growsIn	DSMZ:1271		BACDIVE:23372
DSMZ:1271	biolink:supportsGrowth	NCBITaxon:1920507		BACDIVE:23372
NCBITaxon:1175444	biolink:growsIn	DSMZ:1318		BACDIVE:17669
DSMZ:1318	biolink:supportsGrowth	NCBITaxon:1175444		BACDIVE:17669
NCBITaxon:1121391	biolink:growsIn	DSMZ:195c		BACDIVE:16672
DSMZ:195c	biolink:supportsGrowth	NCBITaxon:1121391		BACDIVE:16672
NCBITaxon:56	biolink:growsIn	DSMZ:9		BACDIVE:12465
DSMZ:9	biolink:supportsGrowth	NCBITaxon:56		BACDIVE:12465
