id	category	name	description	xref	provided_by	synonym	iri	object	predicate	relation	same_as	subject	subsets
NCBITaxon:1955243	biolink:OrganismTaxon	Blautia sp.											
mediadive.medium:1669	biolink:ChemicalEntity	SCHAEDLER BROTH (ROTH; 5772) (DSMZ Medium 1669)											
NCBITaxon:1873457	biolink:OrganismTaxon	Promicromonospora sp.											
mediadive.medium:92	biolink:ChemicalEntity	TRYPTICASE SOY YEAST EXTRACT MEDIUM (DSMZ Medium 92)											
NCBITaxon:1848903	biolink:OrganismTaxon	Capnocytophaga canis											
mediadive.medium:1609	biolink:ChemicalEntity	HEART INFUSION BLOOD AGAR (DSMZ Medium 1609)											
NCBITaxon:1978225	biolink:OrganismTaxon	Frondihabitans sp.											
mediadive.medium:830	biolink:ChemicalEntity	R2A MEDIUM (DSMZ Medium 830)											
NCBITaxon:1413221	biolink:OrganismTaxon	Streptomyces ferrugineus											
mediadive.medium:65	biolink:ChemicalEntity	GYM STREPTOMYCES MEDIUM (DSMZ Medium 65)											
NCBITaxon:1122939	biolink:OrganismTaxon	Patulibacter americanus DSM 16676											
mediadive.medium:830	biolink:ChemicalEntity	R2A MEDIUM (DSMZ Medium 830)											
NCBITaxon:1931	biolink:OrganismTaxon	Streptomyces sp.											
mediadive.medium:65	biolink:ChemicalEntity	GYM STREPTOMYCES MEDIUM (DSMZ Medium 65)											
NCBITaxon:56	biolink:OrganismTaxon	Sorangium cellulosum											
mediadive.medium:9	biolink:ChemicalEntity	VY/2 AGAR (DSMZ Medium 9)											
NCBITaxon:1797	biolink:OrganismTaxon	Mycolicibacterium thermoresistibile											
mediadive.medium:354	biolink:ChemicalEntity	LÖWENSTEIN-JENSEN MEDIUM (DSMZ Medium 354)											
NCBITaxon:145262	biolink:OrganismTaxon	Methanothermobacter thermautotrophicus											
mediadive.medium:119	biolink:ChemicalEntity	METHANOBACTERIUM MEDIUM (DSMZ Medium 119)											
NCBITaxon:47847	biolink:OrganismTaxon	Brachybacterium nesterenkovii											
mediadive.medium:92	biolink:ChemicalEntity	TRYPTICASE SOY YEAST EXTRACT MEDIUM (DSMZ Medium 92)											
NCBITaxon:61595	biolink:OrganismTaxon	Allochromatium warmingii											
mediadive.medium:28	biolink:ChemicalEntity	PFENNIG'S MEDIUM I (modified 1988, for purple sulfur bacteria) (DSMZ Medium 28)											
NCBITaxon:920	biolink:OrganismTaxon	Acidithiobacillus ferrooxidans											
mediadive.medium:271	biolink:ChemicalEntity	ACIDITHIOBACILLUS (APH) MEDIUM (DSMZ Medium 271)											
NCBITaxon:1871063	biolink:OrganismTaxon	Aeromicrobium sp.											
mediadive.medium:92	biolink:ChemicalEntity	TRYPTICASE SOY YEAST EXTRACT MEDIUM (DSMZ Medium 92)											
NCBITaxon:1387716	biolink:OrganismTaxon	Arthrobacter nanjingensis											
mediadive.medium:92	biolink:ChemicalEntity	TRYPTICASE SOY YEAST EXTRACT MEDIUM (DSMZ Medium 92)											
NCBITaxon:1464038	biolink:OrganismTaxon	Ezakiella peruensis											
mediadive.medium:693	biolink:ChemicalEntity	COLUMBIA BLOOD MEDIUM (DSMZ Medium 693)											
NCBITaxon:1283715	biolink:OrganismTaxon	Micromonospora maoerensis											
mediadive.medium:554	biolink:ChemicalEntity	N-Z-AMINE-MEDIUM (DSMZ Medium 554)											
NCBITaxon:1055723	biolink:OrganismTaxon	Muricauda antarctica											
mediadive.medium:514	biolink:ChemicalEntity	BACTO MARINE BROTH (DIFCO 2216) (DSMZ Medium 514)											
NCBITaxon:1899569	biolink:OrganismTaxon	Spirosoma sp.											
mediadive.medium:1153	biolink:ChemicalEntity	R3 A MEDIUM (DSMZ Medium 1153)											
NCBITaxon:1920507	biolink:OrganismTaxon	uncultured Pleomorphochaeta sp.											
mediadive.medium:1271	biolink:ChemicalEntity	PLEOMORPHOCHAETA MEDIUM (DSMZ Medium 1271)											
NCBITaxon:1175444	biolink:OrganismTaxon	Methanocella conradii											
mediadive.medium:1318	biolink:ChemicalEntity	METHANOCELLA CONRADII MEDIUM (DSMZ Medium 1318)											
NCBITaxon:1121391	biolink:OrganismTaxon	Desulfacinum infernum DSM 9756											
mediadive.medium:195c	biolink:ChemicalEntity	DESULFOBACTER SP. MEDIUM (LACTATE) (DSMZ Medium 195c)											
NCBITaxon:56	biolink:OrganismTaxon	Sorangium cellulosum											
mediadive.medium:9	biolink:ChemicalEntity	VY/2 AGAR (DSMZ Medium 9)											
NCBITaxon:56	biolink:OrganismTaxon	Sorangium cellulosum											
mediadive.medium:9	biolink:ChemicalEntity	VY/2 AGAR (DSMZ Medium 9)											
NCBITaxon:56	biolink:OrganismTaxon	Sorangium cellulosum											
mediadive.medium:9	biolink:ChemicalEntity	VY/2 AGAR (DSMZ Medium 9)											
NCBITaxon:58172	biolink:OrganismTaxon	Paenibacillus sp.											
mediadive.medium:220	biolink:ChemicalEntity	CASO AGAR (MERCK 105458) (DSMZ Medium 220)											
NCBITaxon:184914	biolink:OrganismTaxon	Corallococcus coralloides											
