mediadive_id	name	complex_medium	source	link	min_pH	max_pH	reference	description	ingredents
mediadive.ingredient:1	NUTRIENT AGAR	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1.pdf	7	7			{'Peptone': 'CAS-RN:73049-73-7', 'Meat extract': 'mediadive.ingredient:2', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}
mediadive.ingredient:1a	REACTIVATION WITH LIQUID MEDIUM 1	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1a.pdf	7	7			{'Peptone': 'CAS-RN:73049-73-7', 'Meat extract': 'mediadive.ingredient:2', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}
mediadive.ingredient:2	BACILLUS PASTEURII MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium2.pdf					{'Main sol. 1': 'mediadive.solution:1', 'Urea': 'CHEBI:16199', 'Peptone': 'CAS-RN:73049-73-7', 'Meat extract': 'mediadive.ingredient:2', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}
mediadive.ingredient:3	AZOTOBACTER MEDIUM	0	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium3.pdf	7.3	7.3			{'Glucose': 'CHEBI:17234', 'Mannitol': 'CHEBI:29864', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'Na2MoO4 x 2 H2O': 'CHEBI:75213', 'K2HPO4': 'CHEBI:131527', 'KH2PO4': 'CHEBI:63036', 'FeSO4 x 7 H2O': 'CHEBI:75836', 'CaCO3': 'CHEBI:3311', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}
mediadive.ingredient:6	ALLANTOIN MINERAL MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium6.pdf					{'K2HPO4': 'CHEBI:131527', 'KH2PO4': 'CHEBI:63036', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'FeSO4 x 7 H2O': 'CHEBI:75836', 'MnSO4 x H2O': 'CHEBI:86364', 'Allantoin': 'CHEBI:15676', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}
mediadive.ingredient:7	ANCYLOBACTER - SPIROSOMA MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium7.pdf	7	7			{'Glucose': 'CHEBI:17234', 'Peptone': 'CAS-RN:73049-73-7', 'Yeast extract': 'CAS-RN:8013-01-2', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}
mediadive.ingredient:8	"BACILLUS ""RACEMILACTICUS"" MEDIUM"	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium8.pdf	6.8	6.8			{'Glucose': 'CHEBI:17234', 'Peptone': 'CAS-RN:73049-73-7', 'Yeast extract': 'CAS-RN:8013-01-2', 'CaCO3': 'CHEBI:3311', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}
mediadive.ingredient:9	VY/2 AGAR	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium9.pdf	7.2	7.2			"{""Baker's yeast"": 'CAS-RN:68876-77-7', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'Vitamin B12': 'CHEBI:17439', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}"
mediadive.ingredient:9a	VY/2, REDUCED MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium9a.pdf	7.2	7.2			"{""Baker's yeast"": 'CAS-RN:68876-77-7', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'Vitamin B12': 'CHEBI:17439', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}"
mediadive.ingredient:10	ZYMOMONAS MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium10.pdf					{'Bacto peptone': 'CAS-RN:51142-18-8', 'Yeast extract': 'CAS-RN:8013-01-2', 'Glucose': 'CHEBI:17234', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}
mediadive.ingredient:11	MRS MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium11.pdf	6.2	6.5			{'Casein peptone': 'CAS-RN:91079-40-2', 'Meat extract': 'mediadive.ingredient:2', 'Yeast extract': 'CAS-RN:8013-01-2', 'Glucose': 'CHEBI:17234', 'Tween 80': 'CHEBI:53426', 'K2HPO4': 'CHEBI:131527', 'Na-acetate': 'CHEBI:32954', '(NH4)3 citrate': 'CHEBI:63037', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'MnSO4 x H2O': 'CHEBI:86364', 'Distilled water': 'CHEBI:15377'}
mediadive.ingredient:11a	MODIFIED MEDIUM 11	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium11a.pdf					{'Main sol. 11': 'mediadive.solution:12', 'Vitamin solution': 'mediadive.solution:5629', 'Casein peptone': 'CAS-RN:91079-40-2', 'Meat extract': 'mediadive.ingredient:2', 'Yeast extract': 'CAS-RN:8013-01-2', 'Glucose': 'CHEBI:17234', 'Tween 80': 'CHEBI:53426', 'K2HPO4': 'CHEBI:131527', 'Na-acetate': 'CHEBI:32954', '(NH4)3 citrate': 'CHEBI:63037', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'MnSO4 x H2O': 'CHEBI:86364', 'Distilled water': 'CHEBI:15377', 'Biotin': 'CHEBI:15956', 'Folic acid': 'CHEBI:27470', 'Pyridoxine hydrochloride': 'CHEBI:30961', 'Thiamine-HCl x 2 H2O': 'CHEBI:132751', 'Riboflavin': 'CHEBI:17015', 'Nicotinic acid': 'CHEBI:15940', 'Calcium pantothenate': 'CHEBI:31345', 'p-Aminobenzoic acid': 'CHEBI:30753', 'Vitamin B12': 'CHEBI:17439'}
mediadive.ingredient:11b	MRS MEDIUM (pre-reduced)	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium11b.pdf	6.2	6.5			{'Casein peptone': 'CAS-RN:91079-40-2', 'Meat extract': 'mediadive.ingredient:2', 'Yeast extract': 'CAS-RN:8013-01-2', 'Glucose': 'CHEBI:17234', 'Tween 80': 'CHEBI:53426', 'Resazurin': 'CHEBI:8806', 'K2HPO4': 'CHEBI:131527', 'Na-acetate': 'CHEBI:32954', '(NH4)3 citrate': 'CHEBI:63037', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'MnSO4 x H2O': 'CHEBI:86364', 'Distilled water': 'CHEBI:15377', 'L-Cysteine HCl x H2O': 'CHEBI:91248'}
mediadive.ingredient:12	SOIL EXTRACT MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium12.pdf	6.8	7			{'air-dried garden soil': 'mediadive.ingredient:2083', 'Tap water': 'CHEBI:15377', 'Agar': 'CHEBI:2509'}
mediadive.ingredient:13	BACILLUS ACIDOCALDARIUS MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium13.pdf					{'Solution A': 'mediadive.solution:17', 'Solution B': 'mediadive.solution:18', 'Yeast extract': 'CAS-RN:8013-01-2', '(NH4)2SO4': 'CHEBI:62946', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'KH2PO4': 'CHEBI:63036', 'Distilled water': 'CHEBI:15377', 'Glucose': 'CHEBI:17234', 'Agar': 'CHEBI:2509'}
mediadive.ingredient:14	CLOSTRIDIUM FORMICACETICUM MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium14.pdf	8	8			{'Yeast extract': 'CAS-RN:8013-01-2', 'K2HPO4': 'CHEBI:131527', 'Trace element solution SL-4': 'mediadive.solution:20', 'Pyridoxine hydrochloride': 'CHEBI:30961', 'Na-thioglycolate': 'CHEBI:86481', 'Sodium resazurin': 'CAS-RN:62758-13-8', 'Na2CO3': 'CHEBI:29377', 'D-Fructose': 'CHEBI:15824', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377', 'Na2-EDTA': 'CHEBI:64734', 'FeSO4 x 7 H2O': 'CHEBI:75836', 'ZnSO4 x 7 H2O': 'CHEBI:32312', 'MnCl2 x 4 H2O': 'CHEBI:86368', 'H3BO3': 'CHEBI:33118', 'CoCl2 x 6 H2O': 'CHEBI:35696', 'CuCl2 x 2 H2O': 'CHEBI:86318', 'NiCl2 x 6 H2O': 'CHEBI:34887', 'Na2MoO4 x 2 H2O': 'CHEBI:75213'}
mediadive.ingredient:21	SARCINA MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium21.pdf	6	6			{'Glucose': 'CHEBI:17234', 'Peptone': 'CAS-RN:73049-73-7', 'Yeast extract': 'CAS-RN:8013-01-2', 'Distilled water': 'CHEBI:15377'}
